id;company;market_sector_id;symbol;bdr;cnpj;main_activity;market_sector;website
208;CIBRASEC;14;Nenhum ativo na B3;BR;02.105.040/0001-23;Consiste em Um Processo Financeiro Estruturado Através Do Qual Créditos São Adquiridos. Permitindo A Emissão de Valores Mobiliários (cri Ou Cra) A Serem Negociados No Mercado Financeiro E de Capitais.;Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis;www.cibrasec.com.br
209;CIELO;4;CIEL3;BR;01.027.058/0001-91;Empresa Prestadora de Serviços de Adquirência E Meios de Pagamento.;Financeiro / Serviços Financeiros Diversos / Serviços Financeiros Diversos;www.cielo.com.br
210;CIMS;5;CMSA3;BR;00.272.185/0001-93;Participação No Capital de Outras Empresas;Outros / Outros / Outros;www.cims.com.br
211;CIMS;5;CMSA4;BR;00.272.185/0001-93;Participação No Capital de Outras Empresas;Outros / Outros / Outros;www.cims.com.br
212;CINCINNATI;9;CINF34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Não Classificados / Não Classificado / Não Classificados;Não Informado
213;CINESYSTEM;1;CNSY3;BR;07.437.016/0001-05;A Companhia Tem Como Principais Atividades A Prestação de Serviços de Cinematografia E A Revenda de Mercadorias de Bombonière.;Consumo Cíclico / Mídia / Produção e Difusão de Filmes e Programas;www.cinesystem.com.br/ri
214;CISCO;17;CSCO34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Tecnologia da Informação / Computadores e Equipamentos / Computadores e Equipamentos;www.cisco.com
215;CITIGROUP;4;CTGP34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Financeiro / Intermediários Financeiros / Bancos;Não Informado
216;CLOROX CO;9;CLXC34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Não Classificados / Não Classificado / Não Classificados;Não Informado
217;CME GROUP;9;CHME34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Não Classificados / Não Classificado / Não Classificados;Não Informado
218;COCA COLA;1;COCA34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Consumo não Cíclico / Bebidas / Cervejas e Refrigerantes;www.coca-colacompany.com
219;COELBA;3;CEEB3;BR;15.139.629/0001-94;Serviço Público de Distribuição de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.coelba.com.br
220;COELBA;3;CEEB5;BR;15.139.629/0001-94;Serviço Público de Distribuição de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.coelba.com.br
221;COELBA;3;CEEB6;BR;15.139.629/0001-94;Serviço Público de Distribuição de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.coelba.com.br
222;COELCE;3;COCE3;BR;07.047.251/0001-70;Distribuição de Energia Elétrica.;Utilidade Pública / Energia Elétrica / Energia Elétrica;http://www.eneldistribuicao.com.br/ce/
223;COELCE;3;COCE5;BR;07.047.251/0001-70;Distribuição de Energia Elétrica.;Utilidade Pública / Energia Elétrica / Energia Elétrica;http://www.eneldistribuicao.com.br/ce/
224;COELCE;3;COCE6;BR;07.047.251/0001-70;Distribuição de Energia Elétrica.;Utilidade Pública / Energia Elétrica / Energia Elétrica;http://www.eneldistribuicao.com.br/ce/
225;COGNIZANT;16;CTSH34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Tecnologia da Informação / Programas e Serviços / Programas e Serviços;http://www.cognizant.com
226;COLGATE;1;COLG34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Consumo não Cíclico / Produtos de Uso Pessoal e de Limpeza / Produtos de Uso Pessoal;www.colgate.com
227;COMCAST;9;CMCS34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Consumo Cíclico / Mídia / Produção e Difusão de Filmes e Programas;www.comcast.com
